敵の種類,弾の種類,移動のパターン,弾のパターン,弾のスピード,出現する時刻,停止時間,弾を発射する時刻,帰還する時刻,x座標,ｙ座標,HP,アイテム
1,1,0,0,4,80,130,160,200,50,-40,1,0
1,1,0,0,4,80,130,160,200,150,-40,1,0
1,1,0,0,4,80,130,160,200,250,-40,1,0
1,1,0,0,4,80,130,160,200,350,-40,1,1
1,1,0,0,4,200,250,280,320,100,-40,1,0
0,0,0,0,4,200,250,280,320,200,-40,1,0
0,0,0,0,4,200,250,280,320,300,-40,1,0
1,1,1,0,6,380,430,440,490,90,-40,1,0
1,1,1,0,6,410,460,470,520,180,-40,1,1
1,1,1,0,6,440,490,500,550,270,-40,1,0
1,1,1,0,6,470,520,530,580,360,-40,1,0
1,1,1,0,6,500,550,560,610,90,-40,1,0
2,2,1,0,6,530,580,590,640,180,-40,1,0
2,2,1,0,6,560,610,620,670,270,-40,1,0
2,2,1,0,6,590,640,650,700,360,-40,1,0
1,1,0,1,6,830,880,881,980,50,-40,1,0
1,1,0,1,6,880,930,931,1030,125,-40,1,1
1,1,0,1,6,930,980,981,1080,190,-40,1,0
1,1,0,1,6,980,1030,1031,1130,265,-40,1,0
1,1,0,1,5,1030,1080,1081,1180,340,-40,1,0
1,1,0,1,5,1230,1280,1281,1330,50,-40,1,0
1,1,0,1,5,1230,1280,1281,1330,100,-40,1,0
1,1,0,1,5,1230,1280,1281,1330,150,-40,1,1
1,1,0,1,5,1230,1280,1281,1330,200,-40,1,0
1,1,0,1,5,1230,1280,1281,1330,250,-40,1,0
1,1,0,1,5,1230,1280,1281,1330,300,-40,1,0
1,1,0,1,5,1230,1280,1281,1330,350,-40,1,0
0,0,0,2,4,1330,1380,1381,1430,200,-40,1,0
2,2,0,2,4,1480,1530,1531,1630,100,-40,1,0
0,0,0,2,4,1480,1530,1531,1630,200,-40,1,0
2,2,0,2,4,1480,1530,1531,1630,300,-40,1,0
2,2,1,2,4,1680,1730,1731,1830,100,-40,1,0
2,2,1,2,4,1680,1730,1731,1830,300,-40,1,1
2,2,1,2,4,1730,1780,1781,1880,150,-40,1,0
2,2,1,2,4,1730,1780,1781,1880,250,-40,1,0
2,2,1,2,4,1790,1840,1841,1940,50,-40,1,0
2,2,1,2,4,1790,1840,1841,1940,350,-40,1,0
2,2,1,2,4,1850,1900,1901,2000,120,-40,1,0
2,2,1,2,4,1850,1900,1901,2000,280,-40,1,0
0,0,2,2,4,2030,2080,2081,2180,100,-40,1,0
2,2,3,2,4,2030,2080,2081,2180,300,-40,1,1
2,2,2,2,4,2080,2130,2131,2230,300,-40,1,0
2,2,3,2,4,2080,2130,2131,2230,100,-40,1,0
0,0,2,2,4,2130,2180,2181,2280,100,-40,1,0
2,2,3,2,4,2130,2180,2181,2280,300,-40,1,0
3,3,0,3,4,2430,2480,2481,2580,100,-40,1,1
3,3,0,3,4,2430,2480,2481,2580,300,-40,1,0
3,3,0,3,4,2630,2680,2681,2730,90,-40,1,1
3,3,0,3,4,2630,2680,2681,2730,200,-40,1,0
2,2,0,3,4,2630,2680,2681,2730,310,-40,1,0
2,2,1,3,4,2780,2830,2831,2930,200,-40,1,0
2,2,1,3,4,2930,2980,2981,3080,100,-40,1,1
3,3,1,3,4,2930,2980,2981,3080,300,-40,1,0
